Month	Buys	Sells
2026/07	3298342.79	3777831.85
2026/06	7393565.30	6402266.35
2026/05	4610599.40	4541286.27
2026/04	3612705.58	4662258.15
2026/03	2304721.33	1548326.14
2026/02	3331144.71	3841537.88
2026/01	5560528.73	5740515.16
2025/12	3225252.75	3109299.19
2025/11	3450086.22	3025678.35
2025/10	5846800.99	5587005.28
2025/09	3804831.44	3972007.85
2025/08	2310318.98	2729548.88
2025/07	2678026.68	2912488.76
2025/06	1627583.38	1273446.12
2025/05	1206262.14	1419056.64
2025/04	375530.54	262888.53
2025/03	409148.36	59313.57
2025/02	199414.20	21646.07
2025/01	49808.56	0.00
 	 	 
TOTAL	55294672.08	54886401.03999999
 	 	 
Date	Buys	Sells
07/16/2026	664166.30	815679.75
07/15/2026	295791.87	181082.30
07/14/2026	303484.44	63234.40
07/13/2026	222250.36	439995.82
07/10/2026	114894.09	320438.81
07/09/2026	157872.77	342716.97
07/08/2026	160677.16	142538.40
07/07/2026	482505.99	370626.89
07/06/2026	248412.01	134270.24
07/02/2026	479262.25	622264.04
07/01/2026	169025.55	344984.23
06/30/2026	168261.36	287871.01
06/29/2026	272441.83	277027.60
06/26/2026	313205.91	162682.24
06/25/2026	325052.39	112585.42
06/24/2026	390563.83	375687.72
06/23/2026	241898.40	214976.78
06/22/2026	440616.87	435330.50
06/18/2026	400259.84	15371.33
06/17/2026	771377.68	129697.66
06/16/2026	513304.00	1479358.08
06/15/2026	84270.38	387258.19
06/12/2026	331786.06	194864.86
06/11/2026	382257.42	550358.18
06/10/2026	533649.36	260727.66
06/09/2026	458757.27	546072.94
06/08/2026	186036.44	0.00
06/05/2026	76258.71	250424.86
06/04/2026	182543.41	184404.10
06/03/2026	266792.28	0.00
06/02/2026	518120.86	337335.07
06/01/2026	536111.00	200232.15
05/29/2026	193618.60	462035.56
05/28/2026	168164.27	419941.05
05/27/2026	337570.87	113696.91
05/26/2026	93885.75	372675.25
05/22/2026	139168.43	390237.89
05/21/2026	110944.40	79641.24
05/20/2026	154996.42	0.00
05/19/2026	94978.42	106013.86
05/18/2026	376500.20	500284.17
05/15/2026	51915.49	0.00
05/14/2026	26059.68	0.00
05/13/2026	273503.53	39873.77
05/12/2026	134622.63	39610.10
05/11/2026	598489.88	156425.23
05/08/2026	241673.61	96685.02
05/07/2026	272161.22	0.00
05/06/2026	399749.23	759569.34
05/05/2026	231515.68	187495.34
05/04/2026	430463.58	241044.71
05/01/2026	280617.51	576056.83
04/30/2026	155407.80	90840.01
04/29/2026	468098.82	5304.22
04/28/2026	128273.41	59952.32
04/27/2026	317495.93	14093.36
04/24/2026	66393.37	228529.38
04/23/2026	423847.40	28019.71
04/22/2026	359097.08	114020.86
04/21/2026	251138.69	247829.17
04/20/2026	295718.40	76125.95
04/17/2026	116690.84	70964.67
04/16/2026	265592.37	92037.10
04/15/2026	286544.71	559953.01
04/14/2026	57919.77	141398.85
04/13/2026	0.00	2370402.67
04/10/2026	63912.43	0.00
04/09/2026	104295.94	82442.55
04/08/2026	70271.14	269544.51
04/07/2026	113501.67	210799.81
04/06/2026	21248.15	0.00
04/02/2026	14995.34	0.00
04/01/2026	32262.32	0.00
03/31/2026	5810.34	0.00
03/30/2026	24174.37	0.00
03/26/2026	19237.34	0.00
03/25/2026	286054.26	315866.22
03/24/2026	164016.23	207023.10
03/23/2026	89406.30	35520.66
03/19/2026	11729.02	0.00
03/18/2026	204925.07	27563.98
03/17/2026	131748.76	63124.50
03/16/2026	51462.47	62644.54
03/13/2026	152113.50	96204.60
03/12/2026	121104.80	0.00
03/11/2026	61820.02	31388.31
03/10/2026	52172.68	17499.33
03/09/2026	55220.56	80312.89
03/06/2026	102821.45	163811.12
03/05/2026	230308.23	212523.08
03/04/2026	91578.86	177627.20
03/03/2026	229963.50	44405.63
03/02/2026	219053.57	12810.98
02/27/2026	406586.28	1225599.59
02/26/2026	173533.48	24995.54
02/25/2026	116054.65	302561.51
02/24/2026	34648.17	56176.52
02/23/2026	33611.84	0.00
02/20/2026	37574.09	0.00
02/19/2026	154178.68	0.00
02/18/2026	56734.75	299793.85
02/17/2026	119954.52	50273.17
02/13/2026	161443.04	232265.88
02/12/2026	140955.50	0.00
02/11/2026	180410.61	185942.03
02/10/2026	59423.80	63956.97
02/09/2026	43919.54	46679.99
02/06/2026	38323.56	34282.61
02/05/2026	439395.57	21132.81
02/04/2026	441317.72	652314.12
02/03/2026	500797.04	399156.45
02/02/2026	192281.87	246406.84
01/30/2026	229936.92	0.00
01/29/2026	692645.85	1152270.19
01/28/2026	254637.24	306353.94
01/27/2026	377018.34	296267.90
01/26/2026	62607.54	65668.53
01/23/2026	90476.18	139705.53
01/22/2026	140268.02	228568.22
01/21/2026	249228.42	145173.84
01/20/2026	244644.73	0.00
01/16/2026	348671.52	0.00
01/15/2026	392751.77	628894.30
01/14/2026	264989.92	316725.40
01/13/2026	644087.85	30841.94
01/12/2026	132829.76	617790.96
01/09/2026	121496.75	106661.20
01/08/2026	337377.00	504705.45
01/07/2026	295244.87	92898.19
01/06/2026	151887.78	251300.65
01/05/2026	198385.52	544253.87
01/02/2026	331342.75	312435.05
12/31/2025	26790.56	7214.02
12/30/2025	21544.91	36277.73
12/29/2025	92883.13	0.00
12/26/2025	54449.82	0.00
12/24/2025	0.00	13004.34
12/23/2025	144792.26	87178.74
12/22/2025	25196.17	303564.85
12/19/2025	91247.01	108001.46
12/18/2025	33960.89	0.00
12/17/2025	372899.79	229313.53
12/16/2025	57292.17	103419.02
12/15/2025	224196.43	206945.16
12/12/2025	319247.35	282523.47
12/11/2025	199065.48	260888.86
12/10/2025	229923.55	49853.60
12/09/2025	129925.18	40523.03
12/08/2025	289104.18	112944.39
12/05/2025	294940.74	303857.92
12/04/2025	236488.89	136439.93
12/03/2025	178380.37	249510.97
12/02/2025	140152.97	142523.12
12/01/2025	62770.90	435315.05
11/28/2025	0.00	27247.31
11/26/2025	71583.46	103405.58
11/25/2025	28821.36	30777.98
11/24/2025	57133.86	28284.29
11/21/2025	107161.46	33236.53
11/20/2025	177888.56	103388.53
11/19/2025	136452.84	26463.66
11/18/2025	276823.61	174329.96
11/17/2025	212439.26	41838.95
11/14/2025	297430.98	262331.90
11/13/2025	465002.68	106525.55
11/12/2025	301874.85	595895.36
11/11/2025	128118.43	506337.28
11/10/2025	130650.65	269797.90
11/07/2025	189208.52	84379.90
11/06/2025	236465.03	262303.77
11/05/2025	118742.23	262506.95
11/04/2025	241424.23	39129.98
11/03/2025	272864.21	67496.97
10/31/2025	270597.75	165347.87
10/30/2025	596390.45	103344.99
10/29/2025	497015.12	204042.88
10/28/2025	288975.10	385251.08
10/27/2025	301930.15	593131.11
10/24/2025	363271.85	483436.14
10/23/2025	87711.84	124230.84
10/22/2025	336713.39	0.00
10/21/2025	357508.64	483087.46
10/20/2025	163768.94	911679.97
10/17/2025	56926.08	164178.05
10/16/2025	211426.14	191266.68
10/15/2025	283062.59	227326.48
10/14/2025	122432.48	147335.66
10/13/2025	74738.18	71256.28
10/10/2025	321344.35	0.00
10/09/2025	255415.33	32651.95
10/08/2025	143439.80	289508.50
10/07/2025	253464.41	0.00
10/06/2025	172362.21	181092.58
10/03/2025	144938.71	218260.36
10/02/2025	295333.63	318815.44
10/01/2025	248033.85	291760.96
09/30/2025	178558.48	624228.49
09/29/2025	57149.79	212339.46
09/26/2025	242394.71	13360.57
09/25/2025	488252.23	0.00
09/24/2025	172013.26	365191.08
09/23/2025	270134.55	236821.09
09/22/2025	256077.20	143022.08
09/19/2025	130313.77	151181.44
09/18/2025	197595.36	269120.33
09/17/2025	247226.63	130311.47
09/16/2025	51883.82	430982.18
09/15/2025	132886.13	0.00
09/12/2025	94455.12	48128.29
09/11/2025	48188.66	93414.20
09/10/2025	356018.09	459164.25
09/09/2025	42329.83	0.00
09/08/2025	96208.36	43521.98
09/05/2025	388306.59	326627.40
09/04/2025	124182.41	303220.02
09/03/2025	96830.72	89075.07
09/02/2025	133825.73	32298.45
08/29/2025	57629.75	97931.80
08/28/2025	63558.65	391047.53
08/27/2025	41702.61	17499.33
08/26/2025	205470.97	0.00
08/25/2025	287563.53	248451.95
08/22/2025	139457.50	584243.14
08/21/2025	43420.17	0.00
08/20/2025	250618.10	453086.31
08/19/2025	152708.75	136287.01
08/18/2025	100792.90	63876.51
08/15/2025	67608.84	82850.75
08/14/2025	73534.97	95204.74
08/13/2025	41788.27	185405.52
08/12/2025	97192.13	95067.28
08/11/2025	25981.69	7221.33
08/08/2025	145066.03	53699.79
08/07/2025	98636.91	115163.31
08/06/2025	58268.00	102512.58
08/05/2025	36922.79	0.00
08/04/2025	110829.03	0.00
08/01/2025	211567.39	0.00
07/31/2025	125967.38	75771.88
07/30/2025	103650.96	171319.39
07/29/2025	359846.68	0.00
07/28/2025	152969.28	608671.36
07/25/2025	116533.74	81346.67
07/24/2025	208596.53	23855.20
07/23/2025	142165.01	171518.78
07/22/2025	182351.25	635111.95
07/21/2025	96867.40	0.00
07/18/2025	123783.94	116216.88
07/17/2025	104322.00	73476.18
07/16/2025	131002.49	72144.99
07/15/2025	114794.99	43421.15
07/14/2025	78994.64	19245.28
07/11/2025	85668.52	66672.41
07/10/2025	53502.50	133110.10
07/09/2025	66195.15	70384.82
07/08/2025	44021.77	4815.79
07/07/2025	120164.76	18998.56
07/03/2025	67376.54	140552.09
07/02/2025	81026.72	224876.91
07/01/2025	118224.43	160978.37
06/30/2025	53308.72	40525.24
06/27/2025	23608.16	14948.48
06/26/2025	20427.31	15786.60
06/25/2025	27411.00	33891.28
06/24/2025	22087.56	32783.30
06/23/2025	68105.72	204778.81
06/20/2025	95568.16	0.00
06/18/2025	76305.20	0.00
06/17/2025	115606.15	0.00
06/16/2025	60516.15	7004.32
06/13/2025	45673.31	1958.64
06/12/2025	44643.02	0.00
06/11/2025	82882.78	52415.24
06/10/2025	88067.83	101283.68
06/09/2025	152374.64	91451.82
06/06/2025	18257.67	48728.15
06/05/2025	308330.10	167740.33
06/04/2025	136416.94	59200.90
06/03/2025	122593.78	266573.81
06/02/2025	65399.18	134375.52
05/29/2025	10481.12	0.00
05/28/2025	11507.72	12855.05
05/23/2025	20468.60	4378.56
05/22/2025	15328.79	0.00
05/21/2025	158749.10	141187.17
05/20/2025	114052.39	30778.28
05/19/2025	112966.55	143785.92
05/16/2025	82693.52	47922.84
05/15/2025	79929.74	44702.33
05/14/2025	88683.44	56448.69
05/13/2025	86222.59	60339.14
05/12/2025	36829.99	368997.43
05/09/2025	29118.78	5368.49
05/08/2025	25694.76	73737.07
05/07/2025	76811.08	92505.26
05/06/2025	92167.72	59720.38
05/05/2025	120940.53	141899.89
05/02/2025	43615.72	17848.32
05/01/2025	0.00	116581.82
04/30/2025	30387.76	0.00
04/29/2025	11078.15	31052.34
04/28/2025	28509.00	3319.22
04/25/2025	4374.76	24058.89
04/23/2025	0.00	13311.47
04/21/2025	0.00	5783.86
04/17/2025	10091.23	0.00
04/15/2025	82724.73	4953.49
04/14/2025	33213.68	93902.38
04/11/2025	10081.84	6114.63
04/10/2025	9667.48	6717.09
04/09/2025	0.00	1579.27
