    JPM           # JPMorgan Chase (JPM)
    BAC           # Bank of America (BAC)
    GS            # Goldman Sachs (GS)
    BRK/B         # Berkshire Hathaway (BRK/B)
    APO           # Apollo Global Management (APO)
    BLK           # BlackRock (BLK)
    AON           # Aon (AON)
    AJG           # Arthur J. Gallagher & Co. (AJG)
    ACGL          # Arch Capital Group (ACGL)
    CB            # Chubb (CB)
    ALL           # Allstate (ALL)
    KNSL          # Kinsale Capital Group (KNSL)
    MKL           # Markel (MKL)
    WRB           # W. R. Berkley (WRB)
    TFC           # Truist Financial (TFC)
    COF           # Capital One (COF)
    SYF           # Synchrony Financial (SYF)
    MC            # Moelis & Company (Investment Bank)
