    APA           # APA Corporation (APA)
    CCJ           # Cameco (CCJ)
    CEG           # Constellation Energy (CEG)
    COP           # ConocoPhillips (COP)
    CVX           # Chevron (CVX)
    DUK           # Duke Energy (DUK)
    ENPH          # Enphase Energy (ENPH)
    EOSE          # Eos Energy Enterprises (EOSE)
    EXC           # Exelon (EXC)
    FSLR          # First Solar (FSLR)
    MPLX          # MPLX (MPLX)
    NEE           # NextEra Energy (NEE)
    NNE           # NuScale Energy (NNE)
    OKLO          # Oklo (OKLO)
    OXY           # Occidental Petroleum (OXY)
    SMR           # NuScale Power (SMR)
    TLN           # Talen Energy (TLN)
    VST           # Vistra (VST)
    WMB           # Williams Companies (WMB)
    XOM           # Exxon Mobil (XOM)
