    COIN          # Coinbase (COIN)
    FICO          # Fair Isaac Corporation (FICO)
    FISV          # Fiserv (FISV)
    FOUR          # Shift4 Payments (FOUR)
    HOOD          # Robinhood (HOOD)
    MA            # Mastercard (MA)
    MORN          # Morningstar (MORN)
    MSCI          # MSCI (MSCI)
    PYPL          # PayPal (PYPL)
    SCHW          # Charles Schwab (SCHW)
    SOFI          # SoFi Technologies (SOFI)
    SPGI          # S&P Global (SPGI)
    V             # Visa (V)
    XYZ           # Block (XYZ)
