    ABBV          # AbbVie (ABBV)
    ABT           # Abbott Laboratories (ABT)
    ALGN          # Align Technology (ALGN)
    AMGN          # Amgen (AMGN)
    BMY           # Bristol Myers Squibb (BMY)
    BSX           # Boston Scientific (BSX)
    CI            # Cigna (CI)
    CNC           # Cencora (CNC)
    COO           # CooperCompanies (COO)
    CVS           # CVS Health (CVS)
    DHR           # Danaher (DHR)
    DVA           # DaVita (DVA)
    ELV           # Elevance Health (ELV)
    GEHC          # GE HealthCare (GEHC)
    GILD          # Gilead Sciences (GILD)
    ILMN          # Illumina (ILMN)
    ISRG          # Intuitive Surgical (ISRG)
    JNJ           # Johnson & Johnson (JNJ)
    LLY           # Eli Lilly and Company (LLY)
    MDT           # Medtronic (MDT)
    MOH           # Molina Healthcare (MOH)
    MRK           # Merck & Co. (MRK)
    MRNA          # Moderna (MRNA)
    NVO           # Novo Nordisk (NVO)
    PFE           # Pfizer (PFE)
    RMD           # ResMed (RMD)
    SYK           # Stryker (SYK)
    TMO           # Thermo Fisher Scientific (TMO)
    UNH           # UnitedHealth Group (UNH)
    VRTX          # Vertex Pharmaceuticals (VRTX)
    ZBH           # Zimmer Biomet (ZBH)
    ZTS           # Zoetis (ZTS)
