    AGX           # Argan (AGX)
    ALLE          # Allegion (ALLE)
    CAT           # Caterpillar (CAT)
    CBRE          # CBRE Group (CBRE). World's largest commercial real estate services company
    CSGP          # CoStar Group (CSGP). Leading commercial real estate data, analytics, software, and online marketplace company.
    JLL           # Jones Lang LaSalle (JLL). Global commercial real estate services and investment-management firm.
    CPRT          # Copart (CPRT)
    DAL           # Delta Airlines (DAL)
    DE            # Deere & Company (DE)
    ETN           # Eaton (ETN)
    FLR           # Fluor (FLR)
    GLW           # Corning (GLW)
    GM            # General Motors (GM)
    HON           # Honeywell (HON)
    PH            # Parker-Hannifin (PH)
    POOL          # Pool Corporation (POOL)
    STLD          # Steel Dynamics (STLD)
    TER           # Teradyne (TER)
    UPS           # United Parcel Service (UPS)
    VRSN          # VeriSign (VRSN)
    VRT           # Vertiv (VRT)
    WHR           # Whirlpool (WHR)
