    COST          # Costco Wholesale (COST)
    WMT           # Walmart (WMT)
    TGT           # Target (TGT)
    HD            # Home Depot (HD)
    LOW           # Lowe's (LOW)
    MCD           # McDonald's (MCD)
    CMG           # Chipotle Mexican Grill (CMG)
    SBUX          # Starbucks (SBUX)
    YUM           # Yum! Brands (YUM)
    DPZ           # Domino's Pizza (DPZ)
    LULU          # Lululemon Athletica (LULU)
    NKE           # Nike (NKE)
    ULTA          # Ulta Beauty (ULTA)
    KO            # Coca-Cola (KO)
    PEP           # PepsiCo (PEP)
    CLX           # Clorox (CLX)
    CL            # Colgate-Palmolive (CL)
    PG            # Procter & Gamble (PG)
    KMB           # Kimberly-Clark (KMB)
    KHC           # Kraft Heinz (KHC)
    MKC           # McCormick & Company (MKC)
    CDW

