    CRWD          # CrowdStrike (CRWD)
    PANW          # Palo Alto Networks (PANW)
    FTNT          # Fortinet (FTNT)
    ZS            # Zscaler (ZS)
    DDOG          # Datadog (DDOG)
    SNOW          # Snowflake (SNOW)
    NOW           # ServiceNow (NOW)
    CRM           # Salesforce (CRM)
    WDAY          # Workday (WDAY)
    ADBE          # Adobe (ADBE)
    ADSK          # Autodesk (ADSK)
    SNPS          # Synopsys (SNPS)
    GTLB          # GitLab (GTLB)
    SHOP          # Shopify (SHOP)
    ORCL          # Oracle (ORCL)
    IBM           # International Business Machines (IBM)
    CTSH          # Cognizant (CTSH)
    INFY          # Infosys (INFY)
