    NVDA          # NVIDIA (NVDA)
    AMD           # Advanced Micro Devices (AMD)
    AVGO          # Broadcom (AVGO)
    TSM           # Taiwan Semiconductor Manufacturing Company (TSM)
    ASML          # ASML (ASML)
    AMAT          # Applied Materials (AMAT)
    LRCX          # Lam Research (LRCX)
    MRVL          # Marvell Technology (MRVL)
    CRDO          # Credo Technology Group (CRDO)
    ANET          # Arista Networks (ANET)
    SMCI          # Super Micro Computer (SMCI)
    ARM           # Arm Holdings (ARM)
    MU            # Micron Technology (MU)
    TXN           # Texas Instruments (TXN)
    QCOM          # Qualcomm (QCOM)
    INTC          # Intel (INTC)
    ON            # Onto Innovation (ON)
    LITE          # Lumentum Holdings (LITE)
    PLAB          # Photronics (PLAB)
    NVTS          # Navitas Semiconductor (NVTS)
    ALAB          # Astera Labs (ALAB)
