### Wide Moat (Strong Competitive Advantage)
# These companies are rated by Morningstar as having a wide economic moat,
# meaning they possess durable competitive advantages expected to last at least
# 20 years, such as strong brands, network effects, or cost leadership.

AAPL     # (Apple)
AMAT     # (Applied Materials)
AMZN     # (Amazon)
ASML     # (ASML Holding)
AVGO     # (Broadcom)
AXP      # (American Express)
BLK      # (BlackRock)
BRK/B    # (Berkshire Hathaway)
CAT      # (Caterpillar)
CLX      # (Clorox)
CSCO     # (Cisco Systems)
DE       # (Deere & Company)
DIS      # (Disney)
FTNT     # (Fortinet)
GIS      # (General Mills)
GOOG     # (Alphabet)
HD       # (Home Depot)
INTU     # (Intuit)
ISRG     # (Intuitive Surgical)
JNJ      # (Johnson & Johnson)
KO       # (Coca-Cola)
LLY      # (Eli Lilly)
LOW      # (Lowe's)
LRCX     # (Lam Research)
LULU     # (Lululemon Athletica)  
MA       # (Mastercard)
META     # (Meta Platforms)
MKC      # (McCormick)
MORN     # (Morningstar)
MRK      # (Merck)
MSFT     # (Microsoft)
NFLX     # (Netflix)
NKE      # (Nike)
NVDA     # (NVIDIA)
NVO      # (Novo Nordisk)
ORCL     # (Oracle)
QCOM     # (Qualcomm)
SNPS     # (Synopsys)
SYK      # (Stryker)
TMO      # (Thermo Fisher Scientific)
TSM      # (Taiwan Semiconductor)
UNH      # (UnitedHealth Group)
V        # (Visa)
WMT      # (Walmart)
ZTS      # (Zoetis)
